agent,date,activite,utilise_emballage,quantite_par_jour,objectifs,preference_type,frequence_livraison,caracteristique_1,caracteristique_2,budget_mensuel,mode_approvisionnement,materiaux,taille_emballage,nb_compartiments,fenetre_transparente,contenance_1comp,contenance_2comp,contenance_3comp,contenance_4comp,echantillon_prefere,intention_achat,prix_centaine_actuel,achat_meme_plus_cher,contraintes_legales,autres_criteres,commentaires,suggestions,tranche_prix,segment
AG-CAL-002,2025-01-06,Mets européens et africains,Oui,1-10,"Economie de couts, Marketing Durable, Innovation culinaire",Les deux,Hebdomadairement,Résistance à la chaleur,Esthétique,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments, 4 compartiments",Oui,Non précisé,1100ML,Autres,Non précisé,Multi-compartiment en Papier carton dur,Oui,2500.0,Oui,La taille,La profondeur la taille,Non,Attention au coût,<2500,C - Petit client
AG-CAL-002,2025-01-06,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Esthétique,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2000.0,Oui,Non,La taille,Non,Le coût,<2500,C - Petit client
AG-CAL-002,2025-01-06,Mets européens et africains,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,3500.0,Peut-être,Non,La taille,Aucun,Le coût,2500-5000,C - Petit client
AG-CAL-002,2025-01-06,Mets africains et européens,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,Non précisé,1100ML,Autres,Non précisé,"Multi-compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,3000.0,Peut-être,Non,La taille et profondeur,Aucun,Que le prix soit abordable,2500-5000,C - Petit client
AG-CAL-002,2025-01-06,Mets européens et africains,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Esthétique,3000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2500.0,Peut-être,Non,Aucun,Pas pour le moment,Le coût,<2500,C - Petit client
AG-CAL-002,2025-01-06,Mets africains et européens,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,3500.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,3500.0,Non,Non la taille,La profondeur la longueur,Aucun pour le moment,Le prix,2500-5000,C - Petit client
AG-CAL-002,2025-01-06,Met africains et européens,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,1100ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,2500.0,Non,Non la taille,La profondeur la longueur,Aucun,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-07,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Autres,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,2500.0,Oui,Non,Aucun,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-07,Mets africains et européens,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,4500.0,Distribution locale,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2000.0,Peut-être,Non,Aucun,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-07,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,Carton,Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2500.0,Peut-être,Non,La taille,Non,Que le prix soit bon,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Esthétique,5000.0,Distribution locale,Carton,Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2500.0,Peut-être,Non,La taille,Non,Le coût soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets africains,Oui,1-10,Economie de couts,Reutilisable,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Commande en ligne,"Plastique, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,Un seul compartiment en Papier carton dur,Peut-être,3000.0,Peut-être,Non,Non,Aucun,Que le prix soit abordable,2500-5000,C - Petit client
AG-CAL-002,2025-01-08,Mets africains et européens,Oui,10-30,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,1100ML,1100ML,Autres,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,Non,Aucun,Non,Le coût,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets européens et africains,Oui,10-30,Economie de couts,Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,Un seul compartiment en Papier carton dur,Oui,2000.0,Peut-être,Non,Aucun,Pas pour l'instant,Que le prix soit bon,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets européens et africains,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Commande en ligne,Carton,Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,"800ML, 1100ML",Non précisé,Non précisé,Multi-compartiment en Papier carton dur,Oui,2500.0,Oui,Nt,La taille,Pas pour le moment,Attention à la qualité et au coût,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets africains et européens,Oui,1-10,"Marketing Durable, Innovation culinaire",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Autres,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2500.0,Peut-être,Non,La taille,Pas encore,Le prix,<2500,C - Petit client
AG-CAL-002,2025-01-08,Mets européens et africains,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Esthétique,5000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,1100ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,4500.0,Peut-être,Non,Aucun pour le moment,Pas pour le moment,Non,2500-5000,C - Petit client
AG-CAL-002,2025-01-08,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,"800ML, 1100ML",1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2000.0,Oui,Non,La taille,Non,Le prix soit abordable,<2500,C - Petit client
